Standard,File,chunks,decompression_throughput_GBps,compression_throughput_GBps,ratio
zstd,500mb_dickens,131072, 7.8599, 3.0765, 2.0148
zstd,500mb_dickens,32768, 3.8141, 1.6902, 2.2146
zstd,500mb_dickens,8192, 1.1618, 0.4690, 2.3301
zstd,500mb_dickens,2048, 0.6585, 0.1618, 2.3904
zstd,500mb_dickens,512, 0.2287, 0.0676, 2.4095
zstd,500mb_dickens,128, 0.0721, 0.0189, 2.4127
zstd,500mb_dickens,32, 0.0248, 0.0070, 2.4169
zstd,500mb_dickens,8, 0.0248, 0.0070, 2.4169
snappy,500mb_dickens,131072, 19.8204, 6.5454, 1.3365
snappy,500mb_dickens,32768, 7.5073, 2.7789, 1.4236
snappy,500mb_dickens,8192, 2.0746, 0.6743, 1.4777
snappy,500mb_dickens,2048, 0.5456, 0.1719, 1.4931
snappy,500mb_dickens,512, 0.1682, 0.0530, 1.4970
snappy,500mb_dickens,128, 0.0434, 0.0134, 1.4979
snappy,500mb_dickens,32, 0.0174, 0.0054, 1.4984
snappy,500mb_dickens,8, 0.0174, 0.0054, 1.4984
zstd,500mb_mozilla,131072, 16.6699, 4.5974, 2.2733
zstd,500mb_mozilla,32768, 14.0692, 4.8714, 2.4882
zstd,500mb_mozilla,8192, 7.3762, 2.1910, 2.5890
zstd,500mb_mozilla,2048, 3.0094, 0.7586, 2.6654
zstd,500mb_mozilla,512, 1.2780, 0.4360, 2.6940
zstd,500mb_mozilla,128, 0.3784, 0.1260, 2.7034
zstd,500mb_mozilla,32, 0.1002, 0.0427, 2.7067
snappy,500mb_mozilla,131072, 34.7504, 12.0635, 1.7476
snappy,500mb_mozilla,32768, 26.4875, 8.0685, 1.8399
snappy,500mb_mozilla,8192, 11.3443, 3.6607, 1.8860
snappy,500mb_mozilla,2048, 3.3337, 1.2214, 1.8990
snappy,500mb_mozilla,512, 1.0638, 0.3973, 1.9018
snappy,500mb_mozilla,128, 0.3157, 0.1100, 1.9027
snappy,500mb_mozilla,32, 0.0828, 0.0286, 1.9030
snappy,500mb_mozilla,8, 0.0297, 0.0101, 1.9030
zstd,500mb_mr,131072, 7.6155, 3.8210, 2.4399
zstd,500mb_mr,32768, 4.5024, 1.8539, 2.6066
zstd,500mb_mr,8192, 1.4507, 0.5544, 2.6608
zstd,500mb_mr,2048, 0.8657, 0.1803, 2.6828
zstd,500mb_mr,512, 0.3102, 0.0831, 2.6855
zstd,500mb_mr,128, 0.0971, 0.0270, 2.6899
zstd,500mb_mr,32, 0.0350, 0.0096, 2.6918
zstd,500mb_mr,8, 0.0352, 0.0096, 2.6922
snappy,500mb_mr,131072, 29.1769, 7.5315, 1.6825
snappy,500mb_mr,32768, 11.7506, 2.4673, 1.7419
snappy,500mb_mr,8192, 2.9804, 0.6543, 1.7671
snappy,500mb_mr,2048, 0.7661, 0.1934, 1.7741
snappy,500mb_mr,512, 0.2907, 0.0658, 1.7757
snappy,500mb_mr,128, 0.0773, 0.0176, 1.7761
snappy,500mb_mr,32, 0.0325, 0.0079, 1.7762
snappy,500mb_mr,8, 0.0325, 0.0079, 1.7762
zstd,500mb_nci,131072, 16.2980, 7.5399, 6.2929
zstd,500mb_nci,32768, 20.0203, 8.2511, 8.4655
zstd,500mb_nci,8192, 11.2200, 3.2707, 9.8769
zstd,500mb_nci,2048, 4.5395, 1.0346, 10.4427
zstd,500mb_nci,512, 1.3747, 0.5953, 10.5986
zstd,500mb_nci,128, 0.3668, 0.1624, 10.6356
zstd,500mb_nci,32, 0.0965, 0.0590, 10.6277
snappy,500mb_nci,131072, 48.2511, 18.5043, 3.7140
snappy,500mb_nci,32768, 47.0263, 11.6177, 4.5729
snappy,500mb_nci,8192, 20.4886, 5.5456, 5.1333
snappy,500mb_nci,2048, 6.4079, 1.5329, 5.2974
snappy,500mb_nci,512, 1.9605, 0.4261, 5.3398
snappy,500mb_nci,128, 0.5635, 0.1318, 5.3492
snappy,500mb_nci,32, 0.1502, 0.0345, 5.3514
snappy,500mb_nci,8, 0.0732, 0.0169, 5.3535
zstd,500mb_samba,131072, 10.4957, 4.1857, 2.8468
zstd,500mb_samba,32768, 8.6831, 3.3106, 3.3258
zstd,500mb_samba,8192, 3.1949, 0.9981, 3.7031
zstd,500mb_samba,2048, 1.7568, 0.4045, 3.9511
zstd,500mb_samba,512, 0.6163, 0.2078, 4.0410
zstd,500mb_samba,128, 0.1849, 0.0679, 4.0547
zstd,500mb_samba,32, 0.0583, 0.0253, 4.0611
snappy,500mb_samba,131072, 32.3201, 10.1697, 2.1021
snappy,500mb_samba,32768, 17.7670, 6.2156, 2.3446
snappy,500mb_samba,8192, 5.4258, 1.6530, 2.5034
snappy,500mb_samba,2048, 1.5031, 0.4897, 2.5475
snappy,500mb_samba,512, 0.5411, 0.1579, 2.5600
snappy,500mb_samba,128, 0.1600, 0.0462, 2.5625
snappy,500mb_samba,32, 0.0502, 0.0137, 2.5632
snappy,500mb_samba,8, 0.0378, 0.0103, 2.5635
zstd,500mb_sao,131072, 6.2911, 2.8376, 1.1883
zstd,500mb_sao,32768, 3.7829, 1.5583, 1.2737
zstd,500mb_sao,8192, 1.3670, 0.4490, 1.3047
zstd,500mb_sao,2048, 0.6628, 0.1350, 1.3162
zstd,500mb_sao,512, 0.2747, 0.0640, 1.3188
zstd,500mb_sao,128, 0.0751, 0.0169, 1.3192
zstd,500mb_sao,32, 0.0398, 0.0093, 1.3193
zstd,500mb_sao,8, 0.0398, 0.0093, 1.3193
snappy,500mb_sao,131072, 25.2336, 13.4367, 1.0851
snappy,500mb_sao,32768, 8.0758, 3.5670, 1.1020
snappy,500mb_sao,8192, 2.1302, 0.9242, 1.1066
snappy,500mb_sao,2048, 0.5371, 0.2293, 1.1078
snappy,500mb_sao,512, 0.1653, 0.0713, 1.1081
snappy,500mb_sao,128, 0.0430, 0.0186, 1.1082
snappy,500mb_sao,32, 0.0241, 0.0105, 1.1082
snappy,500mb_sao,8, 0.0241, 0.0105, 1.1082
zstd,500mb_xml,131072, 5.3067, 3.0192, 3.8179
zstd,500mb_xml,32768, 3.1653, 1.2147, 5.1593
zstd,500mb_xml,8192, 0.9502, 0.3307, 6.0399
zstd,500mb_xml,2048, 0.5366, 0.1046, 6.5364
zstd,500mb_xml,512, 0.1876, 0.0546, 6.7145
zstd,500mb_xml,128, 0.0658, 0.0305, 6.9958
zstd,500mb_xml,32, 0.0468, 0.0163, 6.8314
zstd,500mb_xml,8, 0.0468, 0.0163, 6.8314
snappy,500mb_xml,131072, 19.1165, 8.0723, 2.6977
