Standard,File,chunks,decompression_throughput_GBps,compression_throughput_GBps,ratio
snappy,500mb_dickens,131072, 3.5550, 1.1712, 1.3365
snappy,500mb_dickens,32768, 2.9889, 0.7252, 1.4236
snappy,500mb_dickens,8192, 1.9340, 0.5739, 1.4777
snappy,500mb_dickens,2048, 0.5574, 0.1737, 1.4931
snappy,500mb_dickens,512, 0.1992, 0.0651, 1.4970
snappy,500mb_dickens,128, 0.0507, 0.0163, 1.4979
snappy,500mb_dickens,32, 0.0204, 0.0065, 1.4984
snappy,500mb_dickens,8, 0.0204, 0.0065, 1.4984
zstd,500mb_dickens,131072, 2.9055, 0.5177, 2.0148
zstd,500mb_dickens,32768, 2.0360, 0.5326, 2.2146
zstd,500mb_dickens,8192, 1.1929, 0.4392, 2.3301
zstd,500mb_dickens,2048, 0.8157, 0.1526, 2.3904
zstd,500mb_dickens,512, 0.2829, 0.0806, 2.4095
zstd,500mb_dickens,128, 0.0886, 0.0229, 2.4127
zstd,500mb_dickens,32, 0.0313, 0.0085, 2.4157
zstd,500mb_dickens,8, 0.0313, 0.0085, 2.4174
snappy,500mb_mozilla,131072, 5.9714, 1.7908, 1.7476
snappy,500mb_mozilla,32768, 5.6436, 1.5110, 1.8399
snappy,500mb_mozilla,8192, 4.7096, 1.2054, 1.8860
snappy,500mb_mozilla,2048, 3.0945, 1.0548, 1.8990
snappy,500mb_mozilla,512, 1.2716, 0.4817, 1.9018
snappy,500mb_mozilla,128, 0.3760, 0.1365, 1.9027
snappy,500mb_mozilla,32, 0.0984, 0.0347, 1.9030
snappy,500mb_mozilla,8, 0.0323, 0.0121, 1.9030
zstd,500mb_mozilla,131072, 4.4291, 0.7345, 2.2733
zstd,500mb_mozilla,32768, 4.8323, 0.8302, 2.4882
zstd,500mb_mozilla,8192, 4.4859, 0.7717, 2.5890
zstd,500mb_mozilla,2048, 3.4913, 0.7810, 2.6654
zstd,500mb_mozilla,512, 1.4608, 0.4698, 2.6940
zstd,500mb_mozilla,128, 0.4204, 0.1399, 2.7034
zstd,500mb_mozilla,32, 0.0993, 0.0463, 2.7067
snappy,500mb_mr,131072, 6.6999, 1.5123, 1.6825
snappy,500mb_mr,32768, 5.5806, 0.9863, 1.7419
snappy,500mb_mr,8192, 2.7942, 0.5823, 1.7671
snappy,500mb_mr,2048, 0.7769, 0.1920, 1.7741
snappy,500mb_mr,512, 0.3380, 0.0786, 1.7757
snappy,500mb_mr,128, 0.0877, 0.0210, 1.7761
snappy,500mb_mr,32, 0.0340, 0.0085, 1.7762
snappy,500mb_mr,8, 0.0337, 0.0084, 1.7762
zstd,500mb_mr,131072, 3.0083, 0.7454, 2.4399
zstd,500mb_mr,32768, 2.8000, 0.7670, 2.6066
zstd,500mb_mr,8192, 1.4726, 0.5186, 2.6608
zstd,500mb_mr,2048, 0.7323, 0.1800, 2.6828
zstd,500mb_mr,512, 0.3678, 0.0879, 2.6855
zstd,500mb_mr,128, 0.1123, 0.0322, 2.6899
zstd,500mb_mr,32, 0.0401, 0.0105, 2.6925
zstd,500mb_mr,8, 0.0399, 0.0105, 2.6925
snappy,500mb_nci,131072, 8.4719, 2.7799, 3.7140
snappy,500mb_nci,32768, 10.3635, 2.4394, 4.5730
snappy,500mb_nci,8192, 10.0909, 1.9790, 5.1333
snappy,500mb_nci,2048, 6.0943, 1.4066, 5.2974
snappy,500mb_nci,512, 1.8136, 0.4242, 5.3398
snappy,500mb_nci,128, 0.6883, 0.1572, 5.3492
snappy,500mb_nci,32, 0.1679, 0.0372, 5.3514
snappy,500mb_nci,8, 0.0808, 0.0180, 5.3535
zstd,500mb_nci,131072, 3.7392, 1.2980, 6.2929
zstd,500mb_nci,32768, 6.2646, 1.7908, 8.4655
zstd,500mb_nci,8192, 6.0559, 1.6645, 9.8769
