Compressor name,Chunk size,Grid,SM active C,Compute warps C,Kernel time C (ms),SM active D,Compute warps D,Kernel time D (ms),Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,,,,,,,,,6301.44,6268.59,211948032,211948032,100,../datasets/silesia.tar
nvcomp_ans 3.0.5,-5,103491,100,66.1,12.22,80,52.4,9.012,4262.41,4308.79,211948032,184549984,87.07,../datasets/silesia.tar
nvcomp_ans 3.0.5,-6,51746,92,64.9,7.086,96,69.8,4.563,4290.49,5126.54,211948032,161361408,76.13,../datasets/silesia.tar
nvcomp_ans 3.0.5,-7,25873,92,81.6,5.201,92,86.9,2.572,4447.27,5109.23,211948032,149983368,70.76,../datasets/silesia.tar
nvcomp_ans 3.0.5,-8,,95,85.2,,,82.1,,4649.23,5598.75,211948032,139862080,65.99,../datasets/silesia.tar
nvcomp_ans 3.0.5,-9,,,,,,85.6,,5116.99,5603.99,211948032,135279088,63.83,../datasets/silesia.tar
nvcomp_ans 3.0.5,-10,,,,,,,,4989.85,5751.68,211948032,133540864,63.01,../datasets/silesia.tar
nvcomp_ans 3.0.5,-11,,,,,,,,5283.8,5901.65,211948032,133303208,62.89,../datasets/silesia.tar
nvcomp_ans 3.0.5,-12,,,,,,,,4702.46,5445.79,211948032,133603464,63.04,../datasets/silesia.tar
nvcomp_ans 3.0.5,-13,,,,,,,,5246.75,5543.96,211948032,134570600,63.49,../datasets/silesia.tar
nvcomp_ans 3.0.5,-14,,,,,,,,5118.05,5408.29,211948032,135803000,64.07,../datasets/silesia.tar
nvcomp_ans 3.0.5,-15,,,,,,,,4538.58,5362.49,211948032,137054536,64.66,../datasets/silesia.tar
nvcomp_ans 3.0.5,-16,,,,,,,,4790.61,5430.87,211948032,139460616,65.8,../datasets/silesia.tar
nvcomp_ans 3.0.5,-17,,,,,,,,4467.03,5652.42,211948032,143784736,67.84,../datasets/silesia.tar
nvcomp_ans 3.0.5,-18,,,,,,,,4547.74,5377.04,211948032,148345190,69.99,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-4,,,,,,,,4165.58,3931.71,211948032,192792804,90.96,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-5,,,,,,,,4681.96,4271.57,211948032,183762164,86.7,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-6,,,,,,,,4257.35,5078.8,211948032,179244964,84.57,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-7,,,,,,,,4863.33,4699.49,211948032,176386572,83.22,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-8,,,,,,,,4409.13,5083,211948032,175744724,82.92,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-9,,,,,,,,4963.16,4587.65,211948032,175423556,82.77,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-10,,,,,,,,4856.91,4786.7,211948032,175262860,82.69,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-11,,,,,,,,4768.8,4581.18,211948032,175182180,82.65,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-12,,,,,,,,4845.82,4792.74,211948032,175141952,82.63,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-13,,,,,,,,4504.93,5153.76,211948032,175121848,82.62,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-14,,,,,,,,4358.24,4918.83,211948032,175111760,82.62,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-15,,,,,,,,4669.14,4938.25,211948032,175106664,82.62,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-16,,,,,,,,4658.44,4118.38,211948032,175104124,82.62,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-17,,,,,,,,3979.98,3763.16,211948032,175102908,82.62,../datasets/silesia.tar
nvcomp_bitcomp_default 3.0.5,-18,,,,,,,,3777.45,3210.59,211948032,175102240,82.62,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-4,,,,,,,,3655.49,3801.15,211948032,208491220,98.37,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-5,,,,,,,,3880.83,4040.99,211948032,198887084,93.84,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-6,,,,,,,,4154.04,4429.89,211948032,195601764,92.29,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-7,,,,,,,,4279.58,4593.39,211948032,189004364,89.17,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-8,,,,,,,,4264.74,4583.96,211948032,188365756,88.87,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-9,,,,,,,,4251.49,4516.1,211948032,188046116,88.72,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-10,,,,,,,,4243.86,4538.34,211948032,187886292,88.65,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-11,,,,,,,,4277.95,4556.64,211948032,187806156,88.61,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-12,,,,,,,,4280.41,4550.51,211948032,187766268,88.59,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-13,,,,,,,,4232.68,4495.91,211948032,187746220,88.58,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-14,,,,,,,,4264.75,4509.98,211948032,187736204,88.58,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-15,,,,,,,,4279.94,4794.86,211948032,187731180,88.57,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-16,,,,,,,,4040.75,4404.35,211948032,187728644,88.57,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-17,,,,,,,,4231.2,4402.56,211948032,187727380,88.57,../datasets/silesia.tar
nvcomp_bitcomp_sparse 3.0.5,-18,,,,,,,,3780.27,3863.72,211948032,187726732,88.57,../datasets/silesia.tar
nvcomp_cascaded 3.0.5,0,,,,,,,,3800.13,4179.1,211948032,196758216,92.83,../datasets/silesia.tar
nvcomp_cascaded 3.0.5,-1,,,,,,,,2981.16,3876.74,211948032,203966012,96.23,../datasets/silesia.tar
nvcomp_cascaded 3.0.5,-2,,,,,,,,3224.34,4264.13,211948032,206995104,97.66,../datasets/silesia.tar
nvcomp_cascaded 3.0.5,-3,,,,,,,,2784.34,4097.41,211948032,209960612,99.06,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-7,,,,,,,,179.76,4028.23,211948032,81375489,38.39,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-8,,,,,,,,171.17,4595.3,211948032,76281913,35.99,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-9,,,,,,,,158.01,4612.47,211948032,72330721,34.13,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-10,,,,,,,,138.19,4588.82,211948032,69722641,32.9,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-7,,,,,,,,1512.36,3746.44,211948032,93680852,44.2,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-8,,,,,,,,1490.81,4064.79,211948032,90884748,42.88,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-9,,,,,,,,1455.79,4193.69,211948032,89477948,42.22,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-10,,,,,,,,1254.96,3950.3,211948032,88814908,41.9,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-7,25873,97,64.1,1122,98,81.2,5.587,174.85,6429.53,211948032,86319012,40.73,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-8,12937,96,63.2,1179,97,75.5,5.826,169.57,6585.71,211948032,78795756,37.18,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-9,6469,96,62.5,1288,91,69.7,6.351,162.19,6648.14,211948032,73631668,34.74,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-10,3235,88,57.3,1491,83,55.7,7.92,140.36,6399.36,211948032,70420492,33.23,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-7,,,,,,,,4390.1,5263.6,211948032,135017356,63.7,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-8,,,,,,,,4444.61,5107.81,211948032,132295652,62.42,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-9,,,,,,,,4196.78,5161.68,211948032,131413972,62,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-10,,,,,,,,4428.62,5004.74,211948032,131527788,62.06,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-7,,,,,,,,1575.9,5998.96,211948032,98614508,46.53,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-8,,,,,,,,1559.27,5761.71,211948032,93381396,44.06,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-9,,,,,,,,1489.42,5824.37,211948032,90757588,42.82,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-10,,,,,,,,1390.5,5664.95,211948032,89485532,42.22,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-1,,,,,,,,3283.5,3663.26,211948032,209473419,98.83,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-2,,,,,,,,3446,3976.36,211948032,178854051,84.39,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-3,,,,,,,,3450.78,4552.26,211948032,158759764,74.91,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-4,,,,,,,,3515.62,4424.71,211948032,145184284,68.5,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-5,,,,,,,,3216.83,4833.84,211948032,135556988,63.96,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-6,,,,,,,,2523.7,5049.84,211948032,127684772,60.24,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-7,,,,,,,,2062.92,4628.88,211948032,120890364,57.04,../datasets/silesia.tar
