Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,14395.16,14452.36,211957760,211957760,100.00,/home/robin/dataset/silesia.tar
cudaMemcpy ,14687.85,14714.31,211957760,211957760,100.00,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -1,4163.46,4343.50,211957760,209475691,98.83,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -2,4498.66,4741.26,211957760,178855211,84.38,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -4,4804.01,5143.37,211957760,145186134,68.50,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -7,4306.29,5468.07,211957760,120888314,57.03,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -10,3435.59,5345.81,211957760,107663750,50.79,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -11,2624.08,4912.20,211957760,106638630,50.31,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -14,787.18,2236.07,211957760,105535260,49.79,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -17,122.79,409.60,211957760,105380599,49.72,/home/robin/dataset/silesia.tar
nvcomp_lz4 3.0.5 -18,80.67,246.52,211957760,105367218,49.71,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -1,3843.89,4254.67,211957760,204596722,96.53,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -2,4251.55,4676.23,211957760,173375888,81.80,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -4,4592.74,5190.34,211957760,139262324,65.70,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -7,4371.19,5484.19,211957760,116208044,54.83,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -10,3821.34,5411.61,211957760,106764018,50.37,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -11,3197.37,4980.80,211957760,105941890,49.98,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -14,864.98,2173.32,211957760,105211489,49.64,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -17,131.43,404.17,211957760,105121090,49.60,/home/robin/dataset/silesia.tar
nvcomp_snappy 3.0.5 -18,88.21,268.87,211957760,105113714,49.59,/home/robin/dataset/silesia.tar
nvcomp_ans 3.0.5 -5,4683.40,4649.26,211957760,184551816,87.07,/home/robin/dataset/silesia.tar
nvcomp_ans 3.0.5 -6,5178.30,5102.90,211957760,161362632,76.13,/home/robin/dataset/silesia.tar
nvcomp_ans 3.0.5 -9,5786.74,5651.34,211957760,135283908,63.83,/home/robin/dataset/silesia.tar
nvcomp_ans 3.0.5 -11,5823.67,5668.57,211957760,133906148,63.18,/home/robin/dataset/silesia.tar
nvcomp_ans 3.0.5 -13,5779.26,5657.00,211957760,135439100,63.90,/home/robin/dataset/silesia.tar
