program,version,args,enwik8,enwik9,decompresser,,total size enwik9+prog,comp time,decomp time,mem,alg,Note
fsst,,,60593328,598140102,,,,2.227,0.322,,,
fsst12,,,57862207,551813042,,,,5.734,0.210,,,
iguana,,-t 1,38007837,336786923,,,,11.898,0.519,,,
gzip,1.12,-1,42265732,378104086,,,,11,5.3,,LZ77,
gzip,1.12,-9,36445248,322591995,,,,39,4.8,,LZ77,
zstd,1.5.5,-1,40678709,356944118,,,,2.205,0.695,,LZ77,
zstd,1.5.5,-19 --ultra,26954633,235515928,,,,522,1.1,,LZ77,
lz4,1.9.4,-1,57285984,509454838,,,,2.2,0.9,,,
lz4,1.9.4,-12,41987997,372443347,,,,48,0.9,,,
lizard,1.0.0,-1,42331170,375393834,,,,22,0.9,,,
lizard,1.0.0,-49,34395882,302391133,,,,234,1.2,,,
