Program,enwik8,enwik8 ratio,enwik8 decomp,enwik9,enwik9 ratio,enwik9 decomp,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
nncp v3.2,14915298,0.14915298,3559834173660,106632363,0.106632363,25449.94607721,628955,xd,107261318,241871,238670,7600,Tr,88
cmix v20,14760552,0.14760552,9137135941248,109877715,0.109877715,68016.94265016,241725,sd,110119440,621780,619024,31650,CM,83
fx-cmix,,0,0,112142259,0.112142259,24316.478872524,0,xd,,112142259,216836,8869,CM,97
tensorflow-compress v4,15905037,0.15905037,4625232474711,113542413,0.113542413,33018.474327639,55283,sd,113597696,291394,290803,45360,LSTM,94
cmix-hp 10 Jun 2021,15957339,0.15957339,3100191820920,113712798,0.113712798,22092.12239544,0,xd,113712798,189420,194280,6873,CM,89
fast-cmix,,0,0,113746218,0.113746218,13873.739955678,0,xd,113746218,,121971,8027,CM,99
starlit 31 May 2021,15215107,0.15215107,2612159999974,114951433,0.114951433,19735.091920306,0,xd,114951433,173953,171682,10233,CM,89
phda9 1.8,15010414,0.15010414,1295473780270,116544849,0.116544849,10058.403192945,42944,xd,116587793,86182,86305,6319,CM,83
paq8px_v206fix1   -12L,15849084,0.15849084,4673054870148,124696410,0.12469641,36766.36239927,402949,s,125099359,291916,294847,28151,CM,93
durilca'kingsize  -m13000 -o40 -t2,16209167,0.16209167,29127873099,127377411,0.127377411,228.897207567,407477,xd,127784888,1398,1797,13000,PPM,31
cmve 0.2.0        -m230x7fed7dfd,16424248,0.16424248,0,129876858,0.129876858,0,307787,x,130184645,1140801,,19963,CM,81
paq8hp12any       -8,16230028,0.16230028,609989372352,132045026,0.132045026,4962.780257184,330700,x,132375726,37660,37584,1850,CM,41
drt|emma 1.23,16523517,0.16523517,1108678420149,134164521,0.134164521,9002.036865537,1358251,xd,135522772,73006,67097,3800,CM,81
zpaq 6.42         -m s10.0.5fmax6,17855729,0.17855729,263175589731,142252605,0.142252605,2096.661145095,4760,sd,142257365,6699,14739,14000,CM,61
drt|lpaq9m        9,17964751,0.17964751,16132346398,143943759,0.143943759,129.261495582,110579,x,144054338,868,898,1542,CM,41
mcm 0.83          -x11,18233295,0.18233295,5123555895,144854575,0.144854575,40.704135575,79574,s,144934149,394,281,5961,CM,72
nanozip 0.09a     -cc -m32g -p1 -t1 -nm,18594163,0.18594163,21215939983,148545179,0.148545179,169.490049239,783642,x,149328821,1149,1141,32000,CM,74
xwrt 3.2    -l14 -b255 -m96 -s -e40000 -f200,18679742,0.18679742,43486439376,151171364,0.151171364,351.926935392,52569,s,151223933,2537,2328,1691,CM,
fp8 v3            -8,18438169,0.18438169,416573552217,153188176,0.153188176,3460.980460368,50068,s,153238244,20605,22593,1192,CM,26
WinRK 3.03        pwcm +td 800MB SFX,18612453,0.18612453,0,156291924,0.156291924,0,99665,xd,156391589,68555,,800,CM,10
ppmonstr J        -m1700 -o16,19055092,0.19055092,68598331200,157007383,0.157007383,565.2265788,42019,x,157049402,3574,3600,1700,PPM,
zcm 0.93          -m8 -t1,19572089,0.19572089,8044128579,159135549,0.159135549,65.404710639,227659,x,159363208,421,411,3100,CM,48
slim 23d          -m1700 -o12,19077276,0.19077276,103017290400,159772839,0.159772839,862.7733306,69453,x,159842292,5232,5400,1700,PPM,
bsc-m03 0.4.0     -b1000000000,20293393,0.20293393,2739608055,160258936,0.160258936,21.63495636,105456,xd,160364392,160,135,13000,BWT,96
bwmonstr 0.02,20307295,0.20307295,3170923192365,160468597,0.160468597,25056.690015759,69401,x,160537998,331801,156147,590,BWT,30
nanozipltcb 0.09,20537902,0.20537902,616137060,161581290,0.16158129,4.8474387,133784,x,161715074,64,30,3350,BWT,40
M03 1.1b          1000000000,20710197,0.20710197,8408339982,163667431,0.163667431,66.448976986,50468,x,163717899,457,406,5735,BWT,52
bcm 2.03          -b1000x-,20738630,0.2073863,705113420,163646387,0.163646387,5.563977158,125866,x,163772253,63,34,4096,BWT,98
glza 0.10.1       -x -p3,20356097,0.20356097,242237554.3,163768203,0.163768203,1.9488416157,69935,s,163838138,8184,11.9,8205,Dict,67
bsc 3.25          -b1000 -e2,20786794,0.20786794,166294352,163884462,0.163884462,1.311075696,74297,xd,163958759,23,8,5000,BWT,96
bbb               m1000,20847290,0.2084729,54599052510,164032650,0.16403265,429.60151035,11227,s,164043877,4524,2619,1401,BWT,
pcompress 3.1     -c libbsc -l14 -s1000m,20769968,0.20769968,1536977632,163391884,0.163391884,12.090999416,1370611,x,164762495,359,74,3300,BWT,48
paq9a             -9,19974112,0.19974112,80315904352,165193368,0.165193368,664.242532728,13749,s,165207117,3997,4021,1585,CM,
uda 0.300,19393460,0.1939346,488210962040,166272261,0.166272261,4185.737898414,11264,x,166283525,25282,25174,180,CM,
BWTmix v1         c10000,20608793,0.20608793,14220067170,167852106,0.167852106,115.81795314,9565,x,167861671,1794,690,5000,BWT,49
lrzip 0.612       -z -L 9 -p 1,19847690,0.1984769,58133884010,169318794,0.169318794,495.934747626,99363,x,169418157,2987,2929,2700,CM,33
cm4_ext,20188048,0.20188048,83376638240,170566799,0.170566799,704.44087987,204782,x,170771581,4123,4130,1906,CM,26
M1x2 v0.6         7 enwik7.txt,20723056,0.20723056,14816985040,172212773,0.172212773,123.132132695,38467,s,172251240,711,715,1051,CM,26
cmm4 v0.1e        96,20569034,0.20569034,42289933904,172669955,0.172669955,355.00942748,31314,x,172701269,2052,2056,1321,CM,
lstm-compress v3,20318653,0.20318653,1866796563028,173874407,0.173874407,15974.885017532,144567,s,174018974,92342,91876,9,LSTM,83
ccmx 1.30         7,20857925,0.20857925,27907903650,174142092,0.174142092,233.002119096,15014,x,174157106,1313,1338,1332,CM,
bit 0.7           -p=5,20823204,0.20823204,43728728400,174425039,0.174425039,366.2925819,62493,x,174487532,2050,2100,663,CM,26
mcomp 2.00        -mw -M320m,21103670,0.2110367,8420364330,174388351,0.174388351,69.580952049,172531,x,174560882,473,399,1643,BWT,26
epmopt|epm r9     -m800 -n20 --fixedorder:12,19713502,0.19713502,66552782752,174817424,0.174817424,590.183623424,141101,x,174958525,3179,3376,800,PPM,
WinUDA 2.91       mode 3 (194 MB),20332366,0.20332366,477261627118,174975730,0.17497573,4107.20531029,17203,x,174992933,23610,23473,194,CM,
