Program,enwik8,enwik9,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
nncp v3.2,14915298,106632363,628955,xd,107261318,241871,238670,7600,Tr,88
cmix v20,14760552,109877715,241725,sd,110119440,621780,619024,31650,CM,83
fx-cmix,,112142259,0,xd,,112142259,216836,8869,CM,97
tensorflow-compress v4,15905037,113542413,55283,sd,113597696,291394,290803,45360,LSTM,94
cmix-hp 10 Jun 2021,15957339,113712798,0,xd,113712798,189420,194280,6873,CM,89
fast-cmix,,113746218,0,xd,113746218,,121971,8027,CM,99
starlit 31 May 2021,15215107,114951433,0,xd,114951433,173953,171682,10233,CM,89
phda9 1.8,15010414,116544849,42944,xd,116587793,86182,86305,6319,CM,83
paq8px_v206fix1   -12L,15849084,124696410,402949,s,125099359,291916,294847,28151,CM,93
durilca'kingsize  -m13000 -o40 -t2,16209167,127377411,407477,xd,127784888,1398,1797,13000,PPM,31
cmve 0.2.0        -m230x7fed7dfd,16424248,129876858,307787,x,130184645,1140801,,19963,CM,81
paq8hp12any       -8,16230028,132045026,330700,x,132375726,37660,37584,1850,CM,41
drt|emma 1.23,16523517,134164521,1358251,xd,135522772,73006,67097,3800,CM,81
zpaq 6.42         -m s10.0.5fmax6,17855729,142252605,4760,sd,142257365,6699,14739,14000,CM,61
drt|lpaq9m        9,17964751,143943759,110579,x,144054338,868,898,1542,CM,41
mcm 0.83          -x11,18233295,144854575,79574,s,144934149,394,281,5961,CM,72
nanozip 0.09a     -cc -m32g -p1 -t1 -nm,18594163,148545179,783642,x,149328821,1149,1141,32000,CM,74
xwrt 3.2    -l14 -b255 -m96 -s -e40000 -f200,18679742,151171364,52569,s,151223933,2537,2328,1691,CM,
fp8 v3            -8,18438169,153188176,50068,s,153238244,20605,22593,1192,CM,26
WinRK 3.03        pwcm +td 800MB SFX,18612453,156291924,99665,xd,156391589,68555,,800,CM,10
ppmonstr J        -m1700 -o16,19055092,157007383,42019,x,157049402,3574,3600,1700,PPM,
zcm 0.93          -m8 -t1,19572089,159135549,227659,x,159363208,421,411,3100,CM,48
slim 23d          -m1700 -o12,19077276,159772839,69453,x,159842292,5232,5400,1700,PPM,
bsc-m03 0.4.0     -b1000000000,20293393,160258936,105456,xd,160364392,160,135,13000,BWT,96
bwmonstr 0.02,20307295,160468597,69401,x,160537998,331801,156147,590,BWT,30
nanozipltcb 0.09,20537902,161581290,133784,x,161715074,64,30,3350,BWT,40
M03 1.1b          1000000000,20710197,163667431,50468,x,163717899,457,406,5735,BWT,52
bcm 2.03          -b1000x-,20738630,163646387,125866,x,163772253,63,34,4096,BWT,98
glza 0.10.1       -x -p3,20356097,163768203,69935,s,163838138,8184,11.9,8205,Dict,67
bsc 3.25          -b1000 -e2,20786794,163884462,74297,xd,163958759,23,8,5000,BWT,96
bbb               m1000,20847290,164032650,11227,s,164043877,4524,2619,1401,BWT,
pcompress 3.1     -c libbsc -l14 -s1000m,20769968,163391884,1370611,x,164762495,359,74,3300,BWT,48
paq9a             -9,19974112,165193368,13749,s,165207117,3997,4021,1585,CM,
uda 0.300,19393460,166272261,11264,x,166283525,25282,25174,180,CM,
BWTmix v1         c10000,20608793,167852106,9565,x,167861671,1794,690,5000,BWT,49
lrzip 0.612       -z -L 9 -p 1,19847690,169318794,99363,x,169418157,2987,2929,2700,CM,33
cm4_ext,20188048,170566799,204782,x,170771581,4123,4130,1906,CM,26
M1x2 v0.6         7 enwik7.txt,20723056,172212773,38467,s,172251240,711,715,1051,CM,26
cmm4 v0.1e        96,20569034,172669955,31314,x,172701269,2052,2056,1321,CM,
lstm-compress v3,20318653,173874407,144567,s,174018974,92342,91876,9,LSTM,83
ccmx 1.30         7,20857925,174142092,15014,x,174157106,1313,1338,1332,CM,
bit 0.7           -p=5,20823204,174425039,62493,x,174487532,2050,2100,663,CM,26
mcomp 2.00        -mw -M320m,21103670,174388351,172531,x,174560882,473,399,1643,BWT,26
