Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,5815.24,5701.93,211948032,211948032,100.00,../datasets/silesia.tar
blosclz 2.0.0 -1,4681.23,5347.75,211948032,211943452,100.00,../datasets/silesia.tar
blosclz 2.0.0 -3,744.50,4105.17,211948032,199429414,94.09,../datasets/silesia.tar
blosclz 2.0.0 -6,304.98,772.61,211948032,137571321,64.91,../datasets/silesia.tar
blosclz 2.0.0 -9,297.83,741.35,211948032,135534412,63.95,../datasets/silesia.tar
brieflz 1.3.0 -1,144.39,205.25,211948032,81137711,38.28,../datasets/silesia.tar
brieflz 1.3.0 -3,93.00,201.70,211948032,75550755,35.65,../datasets/silesia.tar
brieflz 1.3.0 -6,15.13,214.76,211948032,67210130,31.71,../datasets/silesia.tar
brieflz 1.3.0 -8,2.39,217.14,211948032,64534661,30.45,../datasets/silesia.tar
brotli 1.0.9 -0,264.26,288.61,211948032,78466713,37.02,../datasets/silesia.tar
brotli 1.0.9 -2,109.86,340.12,211948032,68059530,32.11,../datasets/silesia.tar
brotli 1.0.9 -5,25.14,367.66,211948032,59578644,28.11,../datasets/silesia.tar
brotli 1.0.9 -8,9.26,389.11,211948032,57142884,26.96,../datasets/silesia.tar
brotli 1.0.9 -11,0.31,115.09,211948032,50486777,23.82,../datasets/silesia.tar
bzip2 1.0.8 -1,6.75,25.87,211948032,60483466,28.54,../datasets/silesia.tar
bzip2 1.0.8 -5,4.42,7.61,211948032,55724050,26.29,../datasets/silesia.tar
bzip2 1.0.8 -9,5.48,32.82,211948032,54592416,25.76,../datasets/silesia.tar
crush 1.0 -0,37.80,264.21,211948032,73067034,34.47,../datasets/silesia.tar
crush 1.0 -1,7.41,269.36,211948032,66500014,31.38,../datasets/silesia.tar
crush 1.0 -2,0.41,145.54,211948032,63752067,30.08,../datasets/silesia.tar
csc 2016-10-13 -1,6.06,33.59,211948032,56203252,26.52,../datasets/silesia.tar
csc 2016-10-13 -3,3.52,31.89,211948032,53471257,25.23,../datasets/silesia.tar
csc 2016-10-13 -5,1.39,36.29,211948032,49804715,23.50,../datasets/silesia.tar
density 0.14.2 -1,432.98,434.58,211948032,133069576,62.78,../datasets/silesia.tar
density 0.14.2 -2,261.11,411.49,211948032,101690716,47.98,../datasets/silesia.tar
density 0.14.2 -3,286.13,301.27,211948032,87706324,41.38,../datasets/silesia.tar
fastlz 0.5.0 -1,261.38,604.54,211948032,104628404,49.37,../datasets/silesia.tar
fastlz 0.5.0 -2,260.23,593.16,211948032,100906418,47.61,../datasets/silesia.tar
fastlzma2 1.0.1 -1,18.89,65.65,211948032,59020073,27.85,../datasets/silesia.tar
fastlzma2 1.0.1 -3,10.15,70.45,211948032,54029603,25.49,../datasets/silesia.tar
fastlzma2 1.0.1 -5,5.62,73.92,211948032,51216060,24.16,../datasets/silesia.tar
fastlzma2 1.0.1 -8,3.49,77.30,211948032,49131375,23.18,../datasets/silesia.tar
fastlzma2 1.0.1 -10,2.99,79.10,211948032,48658920,22.96,../datasets/silesia.tar
gipfeli 2016-07-13,255.69,475.27,211948032,87931915,41.49,../datasets/silesia.tar
libdeflate 1.9 -1,169.30,605.89,211948032,73505703,34.68,../datasets/silesia.tar
libdeflate 1.9 -3,110.05,625.87,211948032,70169339,33.11,../datasets/silesia.tar
libdeflate 1.9 -6,74.43,642.67,211948032,67511225,31.85,../datasets/silesia.tar
libdeflate 1.9 -9,28.16,639.84,211948032,66716497,31.48,../datasets/silesia.tar
libdeflate 1.9 -12,4.61,643.43,211948032,64687528,30.52,../datasets/silesia.tar
lz4 1.9.3,469.18,2928.42,211948032,100881183,47.60,../datasets/silesia.tar
lz4fast 1.9.3 -3,544.57,2978.94,211948032,107066754,50.52,../datasets/silesia.tar
lz4fast 1.9.3 -17,821.54,3231.57,211948032,131734532,62.15,../datasets/silesia.tar
lz4hc 1.9.3 -1,90.07,2699.36,211948032,83804203,39.54,../datasets/silesia.tar
lz4hc 1.9.3 -4,61.03,2782.32,211948032,79808330,37.65,../datasets/silesia.tar
lz4hc 1.9.3 -9,26.01,2845.23,211948032,77884878,36.75,../datasets/silesia.tar
lz4hc 1.9.3 -12,9.13,2878.14,211948032,77263051,36.45,../datasets/silesia.tar
lzf 3.6 -0,269.67,630.54,211948032,105682372,49.86,../datasets/silesia.tar
lzf 3.6 -1,267.27,646.84,211948032,102041487,48.14,../datasets/silesia.tar
lzfse 2017-03-08,43.63,568.22,211948032,67627815,31.91,../datasets/silesia.tar
lzg 1.0.10 -1,64.12,482.23,211948032,108554027,51.22,../datasets/silesia.tar
